Dataset,Model,Seed_Size,N_MC,Final_Mean_Activation,Final_SD,Final_SEM,CI95_Lower,CI95_Upper,CI95_Margin
Bitcoin-OTC,LT-u,8,100,2524.5,118.0868,11.808679999999999,2501.3549872,2547.6450128,23.145012799999996
Bitcoin-OTC,UAD,8,100,5156.5,21.9203,2.19203,5152.2036212,5160.7963788,4.296378799999999
Bitcoin-OTC,ISR,8,100,5311.5,2.1213,0.21213,5311.0842252,5311.9157748,0.4157748
Bitcoin-OTC,ACT,8,100,5278.0,4.2426,0.42426,5277.1684504,5278.8315496,0.8315496
Bitcoin-OTC,VMID,12,100,4883.5,4.9497,0.49497,4882.5298588,4884.4701412,0.9701412
Bitcoin-OTC,MAT,12,100,3859.0,0.0,0.0,3859.0,3859.0,0.0
Bitcoin-OTC,FSC-SB,12,100,3164.5,13.435,1.3435000000000001,3161.86674,3167.13326,2.6332600000000004
Bitcoin-OTC,FSC-N,12,100,4899.5,34.6482,3.4648200000000005,4892.7089528,4906.2910472,6.7910472
Bitcoin-OTC,IC-u,12,100,417.5,34.6482,3.4648200000000005,410.7089528,424.2910472,6.7910472
Bitcoin-OTC,LT-u,12,100,2530.0,101.8234,10.18234,2510.0426136,2549.9573864,19.9573864
Bitcoin-OTC,UAD,12,100,5155.0,28.2843,2.82843,5149.4562772,5160.5437228,5.5437228
Bitcoin-OTC,ISR,12,100,5310.5,4.9497,0.49497,5309.5298588,5311.4701412,0.9701412
Bitcoin-OTC,ACT,12,100,5288.5,12.0208,1.20208,5286.1439232,5290.8560768,2.3560768
Bitcoin-OTC,VMID,16,100,4891.0,11.3137,1.13137,4888.7825148,4893.2174852,2.2174852
Bitcoin-OTC,MAT,16,100,3933.0,59.397,5.9397,3921.358188,3944.641812,11.641812
Bitcoin-OTC,FSC-SB,16,100,3144.0,35.3553,3.53553,3137.0703612,3150.9296388,6.9296388
Bitcoin-OTC,FSC-N,16,100,4905.5,12.0208,1.20208,4903.1439232,4907.8560768,2.3560768
Bitcoin-OTC,IC-u,16,100,391.5,102.5305,10.25305,371.404022,411.595978,20.095978
Bitcoin-OTC,LT-u,16,100,2516.0,166.8772,16.68772,2483.2920688,2548.7079312,32.7079312
Bitcoin-OTC,UAD,16,100,5153.5,17.6777,1.76777,5150.0351708,5156.9648292,3.4648292
Bitcoin-OTC,ISR,16,100,5314.5,16.2635,1.62635,5311.312354,5317.687646,3.187646
Bitcoin-OTC,ACT,16,100,5277.0,15.5563,1.55563,5273.9509652,5280.0490348,3.0490348000000003
Bitcoin-OTC,VMID,20,100,4897.5,6.364,0.6364,4896.252656,4898.747344,1.247344
Bitcoin-OTC,MAT,20,100,3931.5,55.8614,5.58614,3920.5511656,3942.4488344,10.9488344
Bitcoin-OTC,FSC-SB,20,100,3208.5,72.832,7.283199999999999,3194.224928,3222.775072,14.275071999999998
Bitcoin-OTC,FSC-N,20,100,4900.0,4.2426,0.42426,4899.1684504,4900.8315496,0.8315496
Bitcoin-OTC,IC-u,20,100,393.5,2.1213,0.21213,393.0842252,393.9157748,0.4157748
Bitcoin-OTC,LT-u,20,100,2550.0,12.7279,1.27279,2547.5053316,2552.4946684,2.4946684
Bitcoin-OTC,UAD,20,100,5158.5,9.1924,0.91924,5156.6982896,5160.3017104,1.8017104
Bitcoin-OTC,ISR,20,100,5307.5,9.1924,0.91924,5305.6982896,5309.3017104,1.8017104
Bitcoin-OTC,ACT,20,100,5274.5,0.7071,0.07071,5274.3614084,5274.6385916,0.13859159999999998
