Dataset,Model,Seed_Size,N_MC,Final_Mean_Activation,Final_SD,Final_SEM,CI95_Lower,CI95_Upper,CI95_Margin
Bitcoin-OTC,AtI,12,1000,4577.5,601.7479,19.028939412232358,4540.203278752025,4614.796721247975,37.29672124797542
Bitcoin-OTC,TrCID,12,1000,4671.5,30.4056,0.9615094962401568,4669.615441387369,4673.384558612631,1.8845586126307072
Bitcoin-OTC,TICC,12,1000,4014.5,239.7092,7.580270480968341,3999.642669857302,4029.357330142698,14.857330142697949
Bitcoin-OTC,TBCELF,12,1000,2411.0,28.2843,0.894428100235005,2409.246920923539,2412.753079076461,1.7530790764606097
Bitcoin-OTC,WPTM,16,1000,1333.5,1775.5451,56.14766604351431,1223.450574554712,1443.549425445288,110.04942544528805
Bitcoin-OTC,STM,16,1000,2245.5,276.4788,8.743027327501613,2228.363666438097,2262.636333561903,17.13633356190316
Bitcoin-OTC,AtI,16,1000,5156.0,214.9605,6.797647869686249,5142.676610175415,5169.323389824585,13.323389824585048
Bitcoin-OTC,TrCID,16,1000,5118.0,32.5269,1.0285908922453084,5115.9839618512,5120.0160381488,2.0160381488008046
Bitcoin-OTC,TICC,16,1000,4682.5,16.2635,0.5142970272614844,4681.491977826568,4683.508022173432,1.0080221734325094
Bitcoin-OTC,TBCELF,16,1000,3706.5,7.7782,0.24596828096321688,3706.017902169312,3706.982097830688,0.48209783068790507
Bitcoin-OTC,WPTM,20,1000,1818.5,170.4127,5.38892274218976,1807.9377114253082,1829.0622885746918,10.56228857469193
Bitcoin-OTC,STM,20,1000,4894.0,203.6468,6.43987726204778,4881.377840566386,4906.622159433614,12.622159433613648
Bitcoin-OTC,AtI,20,1000,5292.0,2.8284,0.08944186134020243,5291.824693951773,5292.175306048227,0.17530604822679677
Bitcoin-OTC,TrCID,20,1000,5104.0,15.5563,0.49193339964877364,5103.035810536689,5104.964189463311,0.9641894633115963
Bitcoin-OTC,TICC,20,1000,4662.0,36.7696,1.1627568465332723,4659.720996580795,4664.279003419205,2.2790034192052135
Bitcoin-OTC,TBCELF,20,1000,3846.5,12.0208,0.38013107297352056,3845.754943096972,3847.245056903028,0.7450569030281002
